"key_ID","year","notification_by_ID","notification_by","notification_by_code","count_notifications"
1,1988,1,"Belgium","BE",10
2,1988,2,"France","FR",31
3,1988,3,"Germany","DE",52
4,1988,4,"Italy","IT",6
5,1988,5,"Luxembourg","LU",0
6,1988,6,"Netherlands","NL",16
7,1988,7,"Denmark","DK",12
8,1988,8,"Ireland","IE",7
9,1988,9,"United Kingdom","UK",9
10,1988,10,"Greece","EL",4
11,1988,11,"Portugal","PT",3
12,1988,12,"Spain","ES",7
13,1988,13,"Austria","AT",0
14,1988,14,"Finland","FI",0
15,1988,15,"Sweden","SE",0
16,1988,29,"Iceland","IS",0
17,1988,31,"Norway","NO",0
18,1988,32,"Switzerland","CH",0
19,1989,1,"Belgium","BE",24
20,1989,2,"France","FR",50
21,1989,3,"Germany","DE",86
22,1989,4,"Italy","IT",22
23,1989,5,"Luxembourg","LU",2
24,1989,6,"Netherlands","NL",25
25,1989,7,"Denmark","DK",20
26,1989,8,"Ireland","IE",4
27,1989,9,"United Kingdom","UK",40
28,1989,10,"Greece","EL",10
29,1989,11,"Portugal","PT",4
30,1989,12,"Spain","ES",33
31,1989,13,"Austria","AT",0
32,1989,14,"Finland","FI",0
33,1989,15,"Sweden","SE",0
34,1989,29,"Iceland","IS",0
35,1989,31,"Norway","NO",0
36,1989,32,"Switzerland","CH",0
37,1990,1,"Belgium","BE",15
38,1990,2,"France","FR",80
39,1990,3,"Germany","DE",82
40,1990,4,"Italy","IT",26
41,1990,5,"Luxembourg","LU",4
42,1990,6,"Netherlands","NL",26
43,1990,7,"Denmark","DK",25
44,1990,8,"Ireland","IE",11
45,1990,9,"United Kingdom","UK",71
46,1990,10,"Greece","EL",12
47,1990,11,"Portugal","PT",10
48,1990,12,"Spain","ES",24
49,1990,13,"Austria","AT",0
50,1990,14,"Finland","FI",3
51,1990,15,"Sweden","SE",1
52,1990,29,"Iceland","IS",0
53,1990,31,"Norway","NO",0
54,1990,32,"Switzerland","CH",0
55,1991,1,"Belgium","BE",11
56,1991,2,"France","FR",70
57,1991,3,"Germany","DE",116
58,1991,4,"Italy","IT",22
59,1991,5,"Luxembourg","LU",2
60,1991,6,"Netherlands","NL",28
61,1991,7,"Denmark","DK",18
62,1991,8,"Ireland","IE",5
63,1991,9,"United Kingdom","UK",87
64,1991,10,"Greece","EL",22
65,1991,11,"Portugal","PT",30
66,1991,12,"Spain","ES",18
67,1991,13,"Austria","AT",36
68,1991,14,"Finland","FI",26
69,1991,15,"Sweden","SE",21
70,1991,29,"Iceland","IS",0
71,1991,30,"Liechtenstein","LI",0
72,1991,31,"Norway","NO",20
73,1991,32,"Switzerland","CH",16
74,1992,1,"Belgium","BE",11
75,1992,2,"France","FR",75
76,1992,3,"Germany","DE",65
77,1992,4,"Italy","IT",41
78,1992,5,"Luxembourg","LU",3
79,1992,6,"Netherlands","NL",39
80,1992,7,"Denmark","DK",28
81,1992,8,"Ireland","IE",2
82,1992,9,"United Kingdom","UK",60
83,1992,10,"Greece","EL",11
