"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","postponement","comments","count_comments","commission_comment","opinions","count_opinions","commission_opinion"
1,"TRIS:1986:0106:FR:N",2,"France","FR",1980-10-15,1980,1987-04-21,1987,0,\N,0,0,\N,0,0
2,"TRIS:1984:0001:DE:N",3,"Germany","DE",1984-03-30,1984,1984-07-09,1984,0,\N,0,0,\N,0,0
3,"TRIS:1984:0002:DE:N",3,"Germany","DE",1984-04-13,1984,1984-07-26,1984,0,\N,0,0,\N,0,0
4,"TRIS:1986:0001:FR:N",2,"France","FR",1986-01-08,1986,1986-07-09,1986,0,\N,0,0,\N,0,0
5,"TRIS:1986:0002:FR:N",2,"France","FR",1986-01-08,1986,1986-07-09,1986,0,\N,0,0,\N,0,0
6,"TRIS:1986:0003:FR:N",2,"France","FR",1986-01-08,1986,1986-07-09,1986,0,\N,0,0,\N,0,0
7,"TRIS:1986:0004:DE:N",3,"Germany","DE",1986-01-10,1986,1986-07-25,1986,0,\N,0,0,\N,0,0
8,"TRIS:1986:0005:IT:N",4,"Italy","IT",1986-01-17,1986,\N,\N,0,\N,0,0,\N,0,0
9,"TRIS:1986:0008:FR:N",2,"France","FR",1986-01-17,1986,1986-07-28,1986,0,\N,0,0,\N,0,0
10,"TRIS:1986:0073:DE:N",3,"Germany","DE",1986-01-21,1986,1986-10-29,1986,0,\N,0,0,\N,0,0
11,"TRIS:1986:0006:FR:N",2,"France","FR",1986-01-23,1986,1986-04-24,1986,0,\N,0,0,\N,0,0
12,"TRIS:1986:0007:IE:N",8,"Ireland","IE",1986-01-24,1986,1986-08-12,1986,0,\N,0,0,\N,0,0
13,"TRIS:1986:0009:FR:N",2,"France","FR",1986-01-30,1986,1986-04-30,1986,0,\N,0,0,\N,0,0
14,"TRIS:1986:0010:FR:N",2,"France","FR",1986-01-30,1986,1986-06-30,1986,0,\N,0,0,\N,0,0
15,"TRIS:1986:0011:NL:N",6,"Netherlands","NL",1986-02-03,1986,1986-05-06,1986,0,\N,0,0,\N,0,0
16,"TRIS:1986:0012:NL:N",6,"Netherlands","NL",1986-02-03,1986,1986-05-06,1986,0,\N,0,0,\N,0,0
17,"TRIS:1986:0013:FR:N",2,"France","FR",1986-02-11,1986,1986-05-12,1986,0,\N,0,0,\N,0,0
18,"TRIS:1986:0014:DE:N",3,"Germany","DE",1986-02-17,1986,1986-08-20,1986,0,\N,0,0,\N,0,0
