"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","comment_ID","comment_by"
1,"TRIS:1988:0083:FR:N","France",1988-07-12,1988,1988-10-13,1988,"TRIS:1988:0083:FR:C:UK","United Kingdom"
2,"TRIS:1988:0086:FR:N","France",1988-07-14,1988,1989-01-16,1989,"TRIS:1988:0086:FR:C:UK","United Kingdom"
3,"TRIS:1988:0140:DE:N","Germany",1988-11-18,1988,1989-05-25,1989,"TRIS:1988:0140:DE:C:EC","Commission"
4,"TRIS:1989:0030:IT:N","Italy",1989-02-13,1989,1989-05-18,1989,"TRIS:1989:0030:IT:C:FR","France"
5,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:DE","Germany"
6,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:FR","France"
7,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:IT","Italy"
8,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:UK","United Kingdom"
9,"TRIS:1989:0057:DE:N","Germany",1989-03-16,1989,1989-06-30,1989,"TRIS:1989:0057:DE:C:IT","Italy"
10,"TRIS:1989:0058:DK:N","Denmark",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:NL","Netherlands"
11,"TRIS:1989:0058:DK:N","Denmark",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:UK","United Kingdom"
12,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:EC","Commission"
13,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:FR","France"
14,"TRIS:1989:0072:DE:N","Germany",1989-04-07,1989,1989-09-04,1989,"TRIS:1989:0072:DE:C:EC","Commission"
15,"TRIS:1989:0076:FR:N","France",1989-04-19,1989,1990-04-23,1990,"TRIS:1989:0076:FR:C:EC","Commission"
16,"TRIS:1989:0093:DE:N","Germany",1989-04-28,1989,1989-08-17,1989,"TRIS:1989:0093:DE:C:EC","Commission"
17,"TRIS:1989:0095:IT:N","Italy",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0095:IT:C:UK","United Kingdom"
18,"TRIS:1989:0101:ES:N","Spain",1989-05-08,1989,1989-11-21,1989,"TRIS:1989:0101:ES:C:DE","Germany"
19,"TRIS:1989:0101:ES:N","Spain",1989-05-08,1989,1989-11-21,1989,"TRIS:1989:0101:ES:C:FR","France"
20,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:EC","Commission"
21,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:ES","Spain"
22,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:PT","Portugal"
23,"TRIS:1989:0104:DE:N","Germany",1989-05-08,1989,1989-08-17,1989,"TRIS:1989:0104:DE:C:UK","United Kingdom"
