"key_ID","year","notification_by","count_notifications"
1,1988,"Austria",0
2,1988,"Belgium",10
3,1988,"Commission",0
4,1988,"Denmark",12
5,1988,"European Free Trade Association",0
6,1988,"Finland",0
7,1988,"France",31
8,1988,"Germany",52
9,1988,"Greece",4
10,1988,"Iceland",0
11,1988,"Ireland",7
12,1988,"Italy",6
13,1988,"Luxembourg",0
14,1988,"Netherlands",16
15,1988,"Norway",0
16,1988,"Portugal",3
17,1988,"Spain",7
18,1988,"Sweden",0
19,1988,"Switzerland",0
20,1988,"United Kingdom",9
21,1989,"Austria",0
22,1989,"Belgium",24
23,1989,"Commission",0
24,1989,"Denmark",20
25,1989,"European Free Trade Association",0
26,1989,"Finland",0
27,1989,"France",50
28,1989,"Germany",86
29,1989,"Greece",10
30,1989,"Iceland",0
31,1989,"Ireland",4
32,1989,"Italy",22
33,1989,"Luxembourg",2
34,1989,"Netherlands",25
35,1989,"Norway",0
36,1989,"Portugal",4
37,1989,"Spain",33
38,1989,"Sweden",0
39,1989,"Switzerland",0
40,1989,"United Kingdom",40
41,1990,"Austria",0
42,1990,"Belgium",15
43,1990,"Commission",0
44,1990,"Denmark",25
45,1990,"European Free Trade Association",0
46,1990,"Finland",3
47,1990,"France",80
48,1990,"Germany",82
49,1990,"Greece",12
50,1990,"Iceland",0
51,1990,"Ireland",11
52,1990,"Italy",26
53,1990,"Luxembourg",4
54,1990,"Netherlands",26
55,1990,"Norway",0
56,1990,"Portugal",10
57,1990,"Spain",24
58,1990,"Sweden",1
59,1990,"Switzerland",0
60,1990,"United Kingdom",71
61,1991,"Austria",36
62,1991,"Belgium",11
63,1991,"Commission",0
64,1991,"Denmark",18
65,1991,"European Free Trade Association",0
66,1991,"Finland",26
67,1991,"France",70
68,1991,"Germany",116
69,1991,"Greece",22
70,1991,"Iceland",0
71,1991,"Ireland",5
72,1991,"Italy",22
73,1991,"Liechtenstein",0
74,1991,"Luxembourg",2
75,1991,"Netherlands",28
76,1991,"Norway",20
77,1991,"Portugal",30
78,1991,"Spain",18
79,1991,"Sweden",21
80,1991,"Switzerland",16
81,1991,"United Kingdom",87
82,1992,"Austria",29
83,1992,"Belgium",11
84,1992,"Commission",0
85,1992,"Denmark",28
86,1992,"European Free Trade Association",0
87,1992,"Finland",29
88,1992,"France",75
89,1992,"Germany",65
90,1992,"Greece",11
91,1992,"Iceland",1
92,1992,"Ireland",2
93,1992,"Italy",41
94,1992,"Liechtenstein",0
95,1992,"Luxembourg",3
96,1992,"Netherlands",39
97,1992,"Norway",16
98,1992,"Portugal",12
99,1992,"Spain",12
100,1992,"Sweden",48
101,1992,"Switzerland",10
102,1992,"United Kingdom",60
103,1993,"Austria",16
104,1993,"Belgium",18
105,1993,"Commission",0
106,1993,"Denmark",18
107,1993,"European Free Trade Association",0
108,1993,"Finland",18
109,1993,"France",65
110,1993,"Germany",80
111,1993,"Greece",12
112,1993,"Iceland",0
113,1993,"Ireland",3
114,1993,"Italy",37
115,1993,"Liechtenstein",0
116,1993,"Luxembourg",1
117,1993,"Netherlands",25
118,1993,"Norway",29
119,1993,"Portugal",7
120,1993,"Spain",15
121,1993,"Sweden",18
122,1993,"Switzerland",27
123,1993,"United Kingdom",113
124,1994,"Austria",19
125,1994,"Belgium",16
126,1994,"Commission",0
127,1994,"Denmark",34
128,1994,"European Free Trade Association",0
129,1994,"Finland",2
130,1994,"France",60
131,1994,"Germany",98
132,1994,"Greece",12
133,1994,"Iceland",0
134,1994,"Ireland",1
135,1994,"Italy",34
136,1994,"Liechtenstein",0
137,1994,"Luxembourg",0
138,1994,"Netherlands",40
139,1994,"Norway",7
140,1994,"Portugal",7
141,1994,"Spain",25
142,1994,"Sweden",33
143,1994,"Switzerland",44
144,1994,"United Kingdom",62
145,1995,"Austria",25
146,1995,"Belgium",25
147,1995,"Commission",0
148,1995,"Denmark",36
149,1995,"European Free Trade Association",0
150,1995,"Finland",17
151,1995,"France",61
152,1995,"Germany",92
153,1995,"Greece",12
154,1995,"Iceland",0
155,1995,"Ireland",1
156,1995,"Italy",31
157,1995,"Liechtenstein",0
158,1995,"Luxembourg",1
159,1995,"Netherlands",43
160,1995,"Norway",8
161,1995,"Portugal",5
162,1995,"Spain",25
163,1995,"Sweden",5
164,1995,"Switzerland",16
165,1995,"Turkey",0
166,1995,"United Kingdom",59
167,1996,"Austria",61
168,1996,"Belgium",20
169,1996,"Commission",0
170,1996,"Denmark",41
171,1996,"European Free Trade Association",0
172,1996,"Finland",34
173,1996,"France",73
174,1996,"Germany",117
175,1996,"Greece",16
176,1996,"Iceland",0
177,1996,"Ireland",7
178,1996,"Italy",29
179,1996,"Liechtenstein",0
180,1996,"Luxembourg",0
181,1996,"Netherlands",70
182,1996,"Norway",30
183,1996,"Portugal",21
184,1996,"Spain",19
185,1996,"Sweden",34
186,1996,"Switzerland",13
187,1996,"Turkey",0
188,1996,"United Kingdom",93
189,1997,"Austria",106
190,1997,"Belgium",59
191,1997,"Commission",0
192,1997,"Denmark",40
193,1997,"European Free Trade Association",0
194,1997,"Finland",22
195,1997,"France",49
196,1997,"Germany",98
197,1997,"Greece",12
198,1997,"Iceland",1
199,1997,"Ireland",3
200,1997,"Italy",31
201,1997,"Liechtenstein",0
202,1997,"Luxembourg",0
203,1997,"Netherlands",341
204,1997,"Norway",11
205,1997,"Portugal",5
206,1997,"Spain",35
207,1997,"Sweden",23
208,1997,"Switzerland",20
209,1997,"Turkey",0
210,1997,"United Kingdom",71
211,1998,"Austria",69
212,1998,"Belgium",50
213,1998,"Commission",0
214,1998,"Denmark",55
215,1998,"European Free Trade Association",0
216,1998,"Finland",23
