"key_ID","year","opinion_by","notification_by","count_opinions"
1,1988,"Austria","Austria",0
2,1988,"Austria","Belgium",0
3,1988,"Austria","Denmark",0
4,1988,"Austria","Finland",0
5,1988,"Austria","France",0
6,1988,"Austria","Germany",0
7,1988,"Austria","Greece",0
8,1988,"Austria","Iceland",0
9,1988,"Austria","Ireland",0
10,1988,"Austria","Italy",0
11,1988,"Austria","Luxembourg",0
12,1988,"Austria","Netherlands",0
13,1988,"Austria","Norway",0
14,1988,"Austria","Portugal",0
15,1988,"Austria","Spain",0
16,1988,"Austria","Sweden",0
17,1988,"Austria","Switzerland",0
18,1988,"Austria","United Kingdom",0
19,1988,"Belgium","Austria",0
20,1988,"Belgium","Belgium",0
21,1988,"Belgium","Denmark",0
22,1988,"Belgium","Finland",0
23,1988,"Belgium","France",0
24,1988,"Belgium","Germany",0
25,1988,"Belgium","Greece",0
26,1988,"Belgium","Iceland",0
27,1988,"Belgium","Ireland",0
28,1988,"Belgium","Italy",0
29,1988,"Belgium","Luxembourg",0
30,1988,"Belgium","Netherlands",0
31,1988,"Belgium","Norway",0
32,1988,"Belgium","Portugal",0
33,1988,"Belgium","Spain",0
34,1988,"Belgium","Sweden",0
35,1988,"Belgium","Switzerland",0
36,1988,"Belgium","United Kingdom",0
37,1988,"Commission","Austria",0
38,1988,"Commission","Belgium",0
39,1988,"Commission","Denmark",0
40,1988,"Commission","Finland",0
41,1988,"Commission","France",0
42,1988,"Commission","Germany",0
43,1988,"Commission","Greece",0
44,1988,"Commission","Iceland",0
45,1988,"Commission","Ireland",1
46,1988,"Commission","Italy",0
47,1988,"Commission","Luxembourg",0
48,1988,"Commission","Netherlands",0
49,1988,"Commission","Norway",0
50,1988,"Commission","Portugal",0
51,1988,"Commission","Spain",1
52,1988,"Commission","Sweden",0
53,1988,"Commission","Switzerland",0
54,1988,"Commission","United Kingdom",0
55,1988,"Denmark","Austria",0
56,1988,"Denmark","Belgium",0
57,1988,"Denmark","Denmark",0
58,1988,"Denmark","Finland",0
59,1988,"Denmark","France",0
60,1988,"Denmark","Germany",0
61,1988,"Denmark","Greece",0
62,1988,"Denmark","Iceland",0
63,1988,"Denmark","Ireland",0
64,1988,"Denmark","Italy",0
65,1988,"Denmark","Luxembourg",0
66,1988,"Denmark","Netherlands",0
67,1988,"Denmark","Norway",0
68,1988,"Denmark","Portugal",0
69,1988,"Denmark","Spain",0
70,1988,"Denmark","Sweden",0
71,1988,"Denmark","Switzerland",0
72,1988,"Denmark","United Kingdom",0
73,1988,"European Free Trade Association","Austria",0
74,1988,"European Free Trade Association","Belgium",0
75,1988,"European Free Trade Association","Denmark",0
76,1988,"European Free Trade Association","Finland",0
77,1988,"European Free Trade Association","France",0
78,1988,"European Free Trade Association","Germany",0
79,1988,"European Free Trade Association","Greece",0
80,1988,"European Free Trade Association","Iceland",0
81,1988,"European Free Trade Association","Ireland",0
82,1988,"European Free Trade Association","Italy",0
83,1988,"European Free Trade Association","Luxembourg",0
84,1988,"European Free Trade Association","Netherlands",0
85,1988,"European Free Trade Association","Norway",0
86,1988,"European Free Trade Association","Portugal",0
87,1988,"European Free Trade Association","Spain",0
88,1988,"European Free Trade Association","Sweden",0
89,1988,"European Free Trade Association","Switzerland",0
90,1988,"European Free Trade Association","United Kingdom",0
91,1988,"Finland","Austria",0
92,1988,"Finland","Belgium",0
93,1988,"Finland","Denmark",0
94,1988,"Finland","Finland",0
95,1988,"Finland","France",0
96,1988,"Finland","Germany",0
97,1988,"Finland","Greece",0
98,1988,"Finland","Iceland",0
99,1988,"Finland","Ireland",0
100,1988,"Finland","Italy",0
101,1988,"Finland","Luxembourg",0
102,1988,"Finland","Netherlands",0
103,1988,"Finland","Norway",0
104,1988,"Finland","Portugal",0
105,1988,"Finland","Spain",0
106,1988,"Finland","Sweden",0
107,1988,"Finland","Switzerland",0
108,1988,"Finland","United Kingdom",0
109,1988,"France","Austria",0
110,1988,"France","Belgium",0
111,1988,"France","Denmark",0
112,1988,"France","Finland",0
113,1988,"France","France",0
114,1988,"France","Germany",0
115,1988,"France","Greece",0
116,1988,"France","Iceland",0
117,1988,"France","Ireland",0
118,1988,"France","Italy",0
119,1988,"France","Luxembourg",0
120,1988,"France","Netherlands",0
121,1988,"France","Norway",0
122,1988,"France","Portugal",0
123,1988,"France","Spain",0
124,1988,"France","Sweden",0
125,1988,"France","Switzerland",0
126,1988,"France","United Kingdom",0
127,1988,"Germany","Austria",0
128,1988,"Germany","Belgium",0
129,1988,"Germany","Denmark",0
130,1988,"Germany","Finland",0
131,1988,"Germany","France",0
132,1988,"Germany","Germany",0
133,1988,"Germany","Greece",0
134,1988,"Germany","Iceland",0
135,1988,"Germany","Ireland",0
136,1988,"Germany","Italy",0
137,1988,"Germany","Luxembourg",0
138,1988,"Germany","Netherlands",0
139,1988,"Germany","Norway",0
140,1988,"Germany","Portugal",0
141,1988,"Germany","Spain",0
142,1988,"Germany","Sweden",0
143,1988,"Germany","Switzerland",0
144,1988,"Germany","United Kingdom",0
145,1988,"Greece","Austria",0
146,1988,"Greece","Belgium",0
147,1988,"Greece","Denmark",0
148,1988,"Greece","Finland",0
149,1988,"Greece","France",0
