"key_ID","year","from_node","to_node","edge_weight"
1,1988,"Commission","Ireland",1
2,1988,"Commission","Spain",1
3,1989,"Belgium","Germany",3
4,1989,"Belgium","Netherlands",1
5,1989,"Belgium","United Kingdom",1
6,1989,"Commission","Belgium",9
7,1989,"Commission","Denmark",3
8,1989,"Commission","France",2
9,1989,"Commission","Germany",42
10,1989,"Commission","Greece",4
11,1989,"Commission","Italy",7
12,1989,"Commission","Luxembourg",2
13,1989,"Commission","Netherlands",4
14,1989,"Commission","Spain",8
15,1989,"Commission","United Kingdom",6
16,1989,"Denmark","Spain",1
17,1989,"Denmark","United Kingdom",1
18,1989,"France","Belgium",6
19,1989,"France","Denmark",2
20,1989,"France","Germany",17
21,1989,"France","Italy",1
22,1989,"France","Netherlands",5
23,1989,"France","Spain",4
24,1989,"France","United Kingdom",8
25,1989,"Germany","Belgium",1
26,1989,"Germany","France",5
27,1989,"Germany","Italy",1
28,1989,"Germany","Netherlands",2
29,1989,"Germany","United Kingdom",6
30,1989,"Greece","Denmark",1
31,1989,"Greece","France",1
32,1989,"Greece","Germany",1
33,1989,"Greece","Italy",1
34,1989,"Ireland","France",1
35,1989,"Ireland","Germany",1
36,1989,"Ireland","Greece",1
37,1989,"Italy","Belgium",1
38,1989,"Italy","France",1
39,1989,"Italy","Germany",5
40,1989,"Italy","Greece",1
41,1989,"Italy","Netherlands",1
42,1989,"Netherlands","Belgium",1
43,1989,"Netherlands","Germany",4
44,1989,"Spain","Belgium",1
45,1989,"Spain","Denmark",1
46,1989,"Spain","France",1
47,1989,"Spain","Germany",1
48,1989,"Spain","Luxembourg",1
49,1989,"Spain","Netherlands",1
50,1989,"Spain","United Kingdom",3
51,1989,"United Kingdom","Belgium",3
52,1989,"United Kingdom","France",4
53,1989,"United Kingdom","Germany",4
54,1989,"United Kingdom","Greece",1
55,1989,"United Kingdom","Netherlands",5
56,1989,"United Kingdom","Spain",2
57,1990,"Belgium","France",3
58,1990,"Belgium","Germany",3
59,1990,"Commission","Belgium",8
60,1990,"Commission","Denmark",11
61,1990,"Commission","France",41
62,1990,"Commission","Germany",33
63,1990,"Commission","Greece",5
64,1990,"Commission","Ireland",2
65,1990,"Commission","Italy",16
66,1990,"Commission","Netherlands",7
67,1990,"Commission","Portugal",1
68,1990,"Commission","Spain",6
69,1990,"Commission","United Kingdom",30
70,1990,"Denmark","France",1
71,1990,"France","Belgium",3
72,1990,"France","Denmark",5
73,1990,"France","Germany",20
74,1990,"France","Greece",1
75,1990,"France","Ireland",1
76,1990,"France","Italy",2
77,1990,"France","Netherlands",2
78,1990,"France","Portugal",1
79,1990,"France","Spain",10
80,1990,"France","United Kingdom",4
81,1990,"Germany","Denmark",2
82,1990,"Germany","France",8
83,1990,"Germany","Netherlands",1
84,1990,"Germany","United Kingdom",1
85,1990,"Italy","Denmark",1
86,1990,"Italy","France",2
87,1990,"Italy","Germany",3
88,1990,"Netherlands","Germany",2
89,1990,"Netherlands","Spain",1
90,1990,"Spain","Belgium",2
91,1990,"Spain","France",5
92,1990,"Spain","Germany",1
93,1990,"Spain","Italy",2
94,1990,"Spain","Luxembourg",1
95,1990,"Spain","Netherlands",3
96,1990,"Spain","Portugal",1
97,1990,"United Kingdom","Denmark",1
98,1990,"United Kingdom","France",1
99,1990,"United Kingdom","Germany",4
100,1990,"United Kingdom","Italy",1
101,1990,"United Kingdom","Netherlands",2
102,1990,"United Kingdom","Spain",2
103,1991,"Belgium","Germany",2
