"key_ID","year","comment_by_ID","comment_by","comment_by_code","notification_by_ID","notification_by","notification_by_code","count_comments"
1,1988,9,"United Kingdom","UK",2,"France","FR",2
2,1988,34,"Commission","EC",3,"Germany","DE",1
3,1989,1,"Belgium","BE",3,"Germany","DE",2
4,1989,1,"Belgium","BE",6,"Netherlands","NL",1
5,1989,1,"Belgium","BE",10,"Greece","EL",1
6,1989,2,"France","FR",1,"Belgium","BE",3
7,1989,2,"France","FR",3,"Germany","DE",10
8,1989,2,"France","FR",4,"Italy","IT",5
9,1989,2,"France","FR",6,"Netherlands","NL",3
10,1989,2,"France","FR",7,"Denmark","DK",2
11,1989,2,"France","FR",9,"United Kingdom","UK",5
12,1989,2,"France","FR",10,"Greece","EL",2
13,1989,2,"France","FR",12,"Spain","ES",4
14,1989,3,"Germany","DE",1,"Belgium","BE",2
15,1989,3,"Germany","DE",6,"Netherlands","NL",3
16,1989,3,"Germany","DE",7,"Denmark","DK",2
17,1989,3,"Germany","DE",9,"United Kingdom","UK",2
18,1989,3,"Germany","DE",10,"Greece","EL",2
19,1989,3,"Germany","DE",12,"Spain","ES",2
20,1989,4,"Italy","IT",2,"France","FR",5
21,1989,4,"Italy","IT",3,"Germany","DE",1
22,1989,4,"Italy","IT",9,"United Kingdom","UK",2
23,1989,4,"Italy","IT",12,"Spain","ES",2
24,1989,6,"Netherlands","NL",2,"France","FR",1
25,1989,6,"Netherlands","NL",3,"Germany","DE",1
26,1989,6,"Netherlands","NL",7,"Denmark","DK",2
27,1989,6,"Netherlands","NL",10,"Greece","EL",1
28,1989,7,"Denmark","DK",1,"Belgium","BE",1
29,1989,7,"Denmark","DK",2,"France","FR",1
30,1989,7,"Denmark","DK",3,"Germany","DE",1
31,1989,7,"Denmark","DK",6,"Netherlands","NL",1
32,1989,9,"United Kingdom","UK",1,"Belgium","BE",1
33,1989,9,"United Kingdom","UK",2,"France","FR",2
34,1989,9,"United Kingdom","UK",3,"Germany","DE",6
35,1989,9,"United Kingdom","UK",4,"Italy","IT",1
36,1989,9,"United Kingdom","UK",5,"Luxembourg","LU",1
37,1989,9,"United Kingdom","UK",6,"Netherlands","NL",2
38,1989,9,"United Kingdom","UK",7,"Denmark","DK",1
39,1989,9,"United Kingdom","UK",10,"Greece","EL",2
40,1989,9,"United Kingdom","UK",12,"Spain","ES",4
41,1989,10,"Greece","EL",6,"Netherlands","NL",1
42,1989,11,"Portugal","PT",3,"Germany","DE",2
43,1989,12,"Spain","ES",1,"Belgium","BE",1
44,1989,12,"Spain","ES",2,"France","FR",5
45,1989,12,"Spain","ES",3,"Germany","DE",3
46,1989,12,"Spain","ES",9,"United Kingdom","UK",1
47,1989,12,"Spain","ES",11,"Portugal","PT",1
48,1989,34,"Commission","EC",1,"Belgium","BE",2
49,1989,34,"Commission","EC",2,"France","FR",9
50,1989,34,"Commission","EC",3,"Germany","DE",12
51,1989,34,"Commission","EC",6,"Netherlands","NL",4
52,1989,34,"Commission","EC",7,"Denmark","DK",4
53,1989,34,"Commission","EC",9,"United Kingdom","UK",3
54,1989,34,"Commission","EC",12,"Spain","ES",5
55,1990,1,"Belgium","BE",3,"Germany","DE",1
56,1990,2,"France","FR",1,"Belgium","BE",2
57,1990,2,"France","FR",3,"Germany","DE",16
58,1990,2,"France","FR",4,"Italy","IT",7
59,1990,2,"France","FR",5,"Luxembourg","LU",1
60,1990,2,"France","FR",6,"Netherlands","NL",5
61,1990,2,"France","FR",7,"Denmark","DK",1
62,1990,2,"France","FR",9,"United Kingdom","UK",24
63,1990,2,"France","FR",10,"Greece","EL",2
64,1990,2,"France","FR",11,"Portugal","PT",1
65,1990,2,"France","FR",12,"Spain","ES",2
66,1990,3,"Germany","DE",1,"Belgium","BE",2
67,1990,3,"Germany","DE",2,"France","FR",19
68,1990,3,"Germany","DE",4,"Italy","IT",5
69,1990,3,"Germany","DE",5,"Luxembourg","LU",1
70,1990,3,"Germany","DE",7,"Denmark","DK",1
71,1990,3,"Germany","DE",9,"United Kingdom","UK",9
72,1990,3,"Germany","DE",10,"Greece","EL",1
73,1990,3,"Germany","DE",11,"Portugal","PT",3
74,1990,4,"Italy","IT",1,"Belgium","BE",1
75,1990,4,"Italy","IT",2,"France","FR",1
76,1990,4,"Italy","IT",3,"Germany","DE",1
77,1990,4,"Italy","IT",6,"Netherlands","NL",2
78,1990,6,"Netherlands","NL",2,"France","FR",2
79,1990,6,"Netherlands","NL",3,"Germany","DE",9
80,1990,6,"Netherlands","NL",4,"Italy","IT",1
81,1990,6,"Netherlands","NL",7,"Denmark","DK",1
82,1990,6,"Netherlands","NL",12,"Spain","ES",1
83,1990,7,"Denmark","DK",1,"Belgium","BE",1
84,1990,7,"Denmark","DK",3,"Germany","DE",2
85,1990,7,"Denmark","DK",10,"Greece","EL",1
86,1990,8,"Ireland","IE",6,"Netherlands","NL",1
87,1990,8,"Ireland","IE",12,"Spain","ES",2
88,1990,9,"United Kingdom","UK",1,"Belgium","BE",3
89,1990,9,"United Kingdom","UK",2,"France","FR",3
90,1990,9,"United Kingdom","UK",3,"Germany","DE",2
91,1990,9,"United Kingdom","UK",5,"Luxembourg","LU",2
92,1990,9,"United Kingdom","UK",6,"Netherlands","NL",7
93,1990,9,"United Kingdom","UK",7,"Denmark","DK",2
94,1990,9,"United Kingdom","UK",8,"Ireland","IE",1
95,1990,9,"United Kingdom","UK",10,"Greece","EL",1
96,1990,9,"United Kingdom","UK",11,"Portugal","PT",2
97,1990,9,"United Kingdom","UK",12,"Spain","ES",2
98,1990,10,"Greece","EL",2,"France","FR",2
99,1990,12,"Spain","ES",1,"Belgium","BE",1
100,1990,12,"Spain","ES",2,"France","FR",14
101,1990,12,"Spain","ES",3,"Germany","DE",4
102,1990,12,"Spain","ES",4,"Italy","IT",1
103,1990,12,"Spain","ES",6,"Netherlands","NL",2
104,1990,12,"Spain","ES",7,"Denmark","DK",1
105,1990,12,"Spain","ES",8,"Ireland","IE",1
106,1990,12,"Spain","ES",9,"United Kingdom","UK",3
107,1990,12,"Spain","ES",10,"Greece","EL",1
108,1990,34,"Commission","EC",1,"Belgium","BE",1
109,1990,34,"Commission","EC",2,"France","FR",10
110,1990,34,"Commission","EC",3,"Germany","DE",21
111,1990,34,"Commission","EC",4,"Italy","IT",1
112,1990,34,"Commission","EC",5,"Luxembourg","LU",1
113,1990,34,"Commission","EC",6,"Netherlands","NL",7
114,1990,34,"Commission","EC",7,"Denmark","DK",2
115,1990,34,"Commission","EC",8,"Ireland","IE",1
116,1990,34,"Commission","EC",9,"United Kingdom","UK",7
117,1990,34,"Commission","EC",10,"Greece","EL",2
118,1990,34,"Commission","EC",11,"Portugal","PT",2
119,1990,34,"Commission","EC",12,"Spain","ES",10
120,1990,34,"Commission","EC",14,"Finland","FI",1
121,1990,35,"European Free Trade Association","EFTA",1,"Belgium","BE",1
122,1990,35,"European Free Trade Association","EFTA",2,"France","FR",1
123,1991,1,"Belgium","BE",3,"Germany","DE",1
124,1991,1,"Belgium","BE",4,"Italy","IT",1
125,1991,1,"Belgium","BE",7,"Denmark","DK",1
126,1991,1,"Belgium","BE",9,"United Kingdom","UK",1
127,1991,2,"France","FR",3,"Germany","DE",5
128,1991,2,"France","FR",4,"Italy","IT",3
129,1991,2,"France","FR",5,"Luxembourg","LU",1
130,1991,2,"France","FR",6,"Netherlands","NL",4
131,1991,2,"France","FR",7,"Denmark","DK",1
132,1991,2,"France","FR",9,"United Kingdom","UK",15
133,1991,2,"France","FR",10,"Greece","EL",3
134,1991,2,"France","FR",11,"Portugal","PT",3
135,1991,2,"France","FR",12,"Spain","ES",3
136,1991,3,"Germany","DE",2,"France","FR",3
137,1991,3,"Germany","DE",4,"Italy","IT",2
138,1991,3,"Germany","DE",6,"Netherlands","NL",3
139,1991,3,"Germany","DE",7,"Denmark","DK",2
140,1991,3,"Germany","DE",9,"United Kingdom","UK",5
141,1991,3,"Germany","DE",10,"Greece","EL",1
142,1991,3,"Germany","DE",11,"Portugal","PT",2
143,1991,4,"Italy","IT",1,"Belgium","BE",1
144,1991,4,"Italy","IT",3,"Germany","DE",3
145,1991,4,"Italy","IT",6,"Netherlands","NL",1
146,1991,4,"Italy","IT",11,"Portugal","PT",4
147,1991,4,"Italy","IT",12,"Spain","ES",1
148,1991,6,"Netherlands","NL",3,"Germany","DE",1
149,1991,7,"Denmark","DK",9,"United Kingdom","UK",1
150,1991,7,"Denmark","DK",11,"Portugal","PT",1
151,1991,9,"United Kingdom","UK",1,"Belgium","BE",1
152,1991,9,"United Kingdom","UK",2,"France","FR",6
153,1991,9,"United Kingdom","UK",3,"Germany","DE",1
154,1991,9,"United Kingdom","UK",4,"Italy","IT",2
155,1991,9,"United Kingdom","UK",6,"Netherlands","NL",7
156,1991,9,"United Kingdom","UK",7,"Denmark","DK",2
157,1991,9,"United Kingdom","UK",10,"Greece","EL",2
158,1991,9,"United Kingdom","UK",11,"Portugal","PT",2
159,1991,9,"United Kingdom","UK",12,"Spain","ES",1
160,1991,10,"Greece","EL",2,"France","FR",1
161,1991,10,"Greece","EL",5,"Luxembourg","LU",1
162,1991,10,"Greece","EL",7,"Denmark","DK",1
163,1991,12,"Spain","ES",1,"Belgium","BE",2
164,1991,12,"Spain","ES",2,"France","FR",5
165,1991,12,"Spain","ES",3,"Germany","DE",2
166,1991,12,"Spain","ES",4,"Italy","IT",4
167,1991,12,"Spain","ES",6,"Netherlands","NL",1
168,1991,12,"Spain","ES",7,"Denmark","DK",1
169,1991,12,"Spain","ES",9,"United Kingdom","UK",5
170,1991,12,"Spain","ES",10,"Greece","EL",13
171,1991,12,"Spain","ES",11,"Portugal","PT",1
172,1991,34,"Commission","EC",1,"Belgium","BE",2
173,1991,34,"Commission","EC",2,"France","FR",36
174,1991,34,"Commission","EC",3,"Germany","DE",12
175,1991,34,"Commission","EC",4,"Italy","IT",4
176,1991,34,"Commission","EC",6,"Netherlands","NL",12
177,1991,34,"Commission","EC",7,"Denmark","DK",3
178,1991,34,"Commission","EC",8,"Ireland","IE",1
179,1991,34,"Commission","EC",9,"United Kingdom","UK",11
180,1991,34,"Commission","EC",10,"Greece","EL",3
181,1991,34,"Commission","EC",11,"Portugal","PT",5
182,1991,34,"Commission","EC",12,"Spain","ES",8
183,1991,34,"Commission","EC",13,"Austria","AT",11
184,1991,34,"Commission","EC",14,"Finland","FI",14
185,1991,34,"Commission","EC",15,"Sweden","SE",10
186,1991,34,"Commission","EC",31,"Norway","NO",12
187,1991,34,"Commission","EC",32,"Switzerland","CH",13
188,1991,35,"European Free Trade Association","EFTA",2,"France","FR",1
189,1991,35,"European Free Trade Association","EFTA",3,"Germany","DE",3
190,1992,1,"Belgium","BE",6,"Netherlands","NL",1
191,1992,2,"France","FR",3,"Germany","DE",10
192,1992,2,"France","FR",4,"Italy","IT",4
193,1992,2,"France","FR",6,"Netherlands","NL",1
194,1992,2,"France","FR",7,"Denmark","DK",3
195,1992,2,"France","FR",8,"Ireland","IE",2
196,1992,2,"France","FR",9,"United Kingdom","UK",4
197,1992,2,"France","FR",11,"Portugal","PT",3
198,1992,3,"Germany","DE",2,"France","FR",1
199,1992,3,"Germany","DE",4,"Italy","IT",2
200,1992,3,"Germany","DE",6,"Netherlands","NL",2
201,1992,3,"Germany","DE",7,"Denmark","DK",4
202,1992,3,"Germany","DE",9,"United Kingdom","UK",10
203,1992,3,"Germany","DE",11,"Portugal","PT",6
204,1992,4,"Italy","IT",2,"France","FR",2
205,1992,4,"Italy","IT",6,"Netherlands","NL",1
206,1992,4,"Italy","IT",10,"Greece","EL",1
207,1992,6,"Netherlands","NL",2,"France","FR",1
208,1992,6,"Netherlands","NL",3,"Germany","DE",12
209,1992,6,"Netherlands","NL",4,"Italy","IT",5
210,1992,6,"Netherlands","NL",7,"Denmark","DK",3
211,1992,6,"Netherlands","NL",9,"United Kingdom","UK",1
212,1992,6,"Netherlands","NL",10,"Greece","EL",1
213,1992,6,"Netherlands","NL",11,"Portugal","PT",1
214,1992,7,"Denmark","DK",2,"France","FR",2
215,1992,7,"Denmark","DK",4,"Italy","IT",3
216,1992,7,"Denmark","DK",6,"Netherlands","NL",4
217,1992,7,"Denmark","DK",11,"Portugal","PT",1
218,1992,8,"Ireland","IE",4,"Italy","IT",1
219,1992,9,"United Kingdom","UK",1,"Belgium","BE",1
220,1992,9,"United Kingdom","UK",2,"France","FR",10
221,1992,9,"United Kingdom","UK",3,"Germany","DE",5
222,1992,9,"United Kingdom","UK",4,"Italy","IT",7
223,1992,9,"United Kingdom","UK",5,"Luxembourg","LU",1
224,1992,9,"United Kingdom","UK",6,"Netherlands","NL",3
225,1992,9,"United Kingdom","UK",7,"Denmark","DK",2
226,1992,9,"United Kingdom","UK",10,"Greece","EL",1
227,1992,9,"United Kingdom","UK",11,"Portugal","PT",1
228,1992,9,"United Kingdom","UK",12,"Spain","ES",1
229,1992,12,"Spain","ES",1,"Belgium","BE",3
230,1992,12,"Spain","ES",2,"France","FR",9
231,1992,12,"Spain","ES",3,"Germany","DE",6
232,1992,12,"Spain","ES",4,"Italy","IT",8
233,1992,12,"Spain","ES",5,"Luxembourg","LU",1
234,1992,12,"Spain","ES",6,"Netherlands","NL",8
235,1992,12,"Spain","ES",7,"Denmark","DK",1
236,1992,12,"Spain","ES",9,"United Kingdom","UK",3
237,1992,12,"Spain","ES",10,"Greece","EL",3
238,1992,12,"Spain","ES",11,"Portugal","PT",1
239,1992,34,"Commission","EC",1,"Belgium","BE",9
240,1992,34,"Commission","EC",2,"France","FR",28
241,1992,34,"Commission","EC",3,"Germany","DE",20
242,1992,34,"Commission","EC",4,"Italy","IT",16
243,1992,34,"Commission","EC",5,"Luxembourg","LU",3
244,1992,34,"Commission","EC",6,"Netherlands","NL",12
245,1992,34,"Commission","EC",7,"Denmark","DK",10
246,1992,34,"Commission","EC",9,"United Kingdom","UK",12
247,1992,34,"Commission","EC",10,"Greece","EL",3
248,1992,34,"Commission","EC",11,"Portugal","PT",3
249,1992,34,"Commission","EC",12,"Spain","ES",2
250,1992,34,"Commission","EC",13,"Austria","AT",16
251,1992,34,"Commission","EC",14,"Finland","FI",17
252,1992,34,"Commission","EC",15,"Sweden","SE",23
253,1992,34,"Commission","EC",31,"Norway","NO",13
254,1992,34,"Commission","EC",32,"Switzerland","CH",7
255,1992,35,"European Free Trade Association","EFTA",2,"France","FR",2
256,1992,35,"European Free Trade Association","EFTA",3,"Germany","DE",1
257,1992,35,"European Free Trade Association","EFTA",6,"Netherlands","NL",5
258,1992,35,"European Free Trade Association","EFTA",7,"Denmark","DK",1
259,1992,35,"European Free Trade Association","EFTA",8,"Ireland","IE",1
260,1993,1,"Belgium","BE",2,"France","FR",1
261,1993,1,"Belgium","BE",4,"Italy","IT",1
262,1993,1,"Belgium","BE",6,"Netherlands","NL",1
263,1993,1,"Belgium","BE",8,"Ireland","IE",2
264,1993,2,"France","FR",1,"Belgium","BE",2
265,1993,2,"France","FR",3,"Germany","DE",8
266,1993,2,"France","FR",4,"Italy","IT",4
267,1993,2,"France","FR",5,"Luxembourg","LU",1
268,1993,2,"France","FR",6,"Netherlands","NL",6
269,1993,2,"France","FR",7,"Denmark","DK",2
270,1993,2,"France","FR",9,"United Kingdom","UK",7
271,1993,2,"France","FR",11,"Portugal","PT",1
272,1993,3,"Germany","DE",1,"Belgium","BE",2
273,1993,3,"Germany","DE",2,"France","FR",4
274,1993,3,"Germany","DE",4,"Italy","IT",1
275,1993,3,"Germany","DE",5,"Luxembourg","LU",1
276,1993,3,"Germany","DE",6,"Netherlands","NL",1
277,1993,3,"Germany","DE",7,"Denmark","DK",1
278,1993,3,"Germany","DE",9,"United Kingdom","UK",4
279,1993,4,"Italy","IT",2,"France","FR",1
280,1993,4,"Italy","IT",3,"Germany","DE",1
281,1993,4,"Italy","IT",9,"United Kingdom","UK",4
282,1993,6,"Netherlands","NL",1,"Belgium","BE",1
283,1993,6,"Netherlands","NL",2,"France","FR",2
284,1993,6,"Netherlands","NL",3,"Germany","DE",3
285,1993,6,"Netherlands","NL",4,"Italy","IT",3
286,1993,6,"Netherlands","NL",9,"United Kingdom","UK",4
287,1993,7,"Denmark","DK",4,"Italy","IT",2
288,1993,7,"Denmark","DK",8,"Ireland","IE",1
289,1993,7,"Denmark","DK",9,"United Kingdom","UK",2
290,1993,9,"United Kingdom","UK",2,"France","FR",4
291,1993,9,"United Kingdom","UK",3,"Germany","DE",7
292,1993,9,"United Kingdom","UK",4,"Italy","IT",1
293,1993,9,"United Kingdom","UK",6,"Netherlands","NL",4
294,1993,9,"United Kingdom","UK",7,"Denmark","DK",1
295,1993,9,"United Kingdom","UK",11,"Portugal","PT",1
296,1993,9,"United Kingdom","UK",12,"Spain","ES",4
297,1993,10,"Greece","EL",3,"Germany","DE",1
298,1993,10,"Greece","EL",6,"Netherlands","NL",1
299,1993,11,"Portugal","PT",2,"France","FR",1
300,1993,12,"Spain","ES",1,"Belgium","BE",2
301,1993,12,"Spain","ES",2,"France","FR",4
302,1993,12,"Spain","ES",3,"Germany","DE",4
303,1993,12,"Spain","ES",4,"Italy","IT",10
304,1993,12,"Spain","ES",5,"Luxembourg","LU",1
305,1993,12,"Spain","ES",6,"Netherlands","NL",6
306,1993,12,"Spain","ES",7,"Denmark","DK",1
307,1993,12,"Spain","ES",9,"United Kingdom","UK",1
308,1993,12,"Spain","ES",10,"Greece","EL",1
309,1993,12,"Spain","ES",11,"Portugal","PT",4
310,1993,13,"Austria","AT",1,"Belgium","BE",1
311,1993,13,"Austria","AT",3,"Germany","DE",2
312,1993,34,"Commission","EC",1,"Belgium","BE",2
313,1993,34,"Commission","EC",2,"France","FR",23
314,1993,34,"Commission","EC",3,"Germany","DE",15
315,1993,34,"Commission","EC",4,"Italy","IT",9
316,1993,34,"Commission","EC",6,"Netherlands","NL",6
317,1993,34,"Commission","EC",7,"Denmark","DK",3
318,1993,34,"Commission","EC",8,"Ireland","IE",3
319,1993,34,"Commission","EC",9,"United Kingdom","UK",20
320,1993,34,"Commission","EC",10,"Greece","EL",2
321,1993,34,"Commission","EC",11,"Portugal","PT",1
322,1993,34,"Commission","EC",12,"Spain","ES",2
323,1993,34,"Commission","EC",13,"Austria","AT",9
324,1993,34,"Commission","EC",14,"Finland","FI",13
325,1993,34,"Commission","EC",15,"Sweden","SE",9
326,1993,34,"Commission","EC",31,"Norway","NO",21
327,1993,34,"Commission","EC",32,"Switzerland","CH",22
328,1993,35,"European Free Trade Association","EFTA",2,"France","FR",1
329,1993,35,"European Free Trade Association","EFTA",3,"Germany","DE",2
330,1993,35,"European Free Trade Association","EFTA",4,"Italy","IT",1
331,1993,35,"European Free Trade Association","EFTA",6,"Netherlands","NL",1
332,1993,35,"European Free Trade Association","EFTA",9,"United Kingdom","UK",2
333,1994,2,"France","FR",1,"Belgium","BE",1
334,1994,2,"France","FR",3,"Germany","DE",6
335,1994,2,"France","FR",4,"Italy","IT",1
336,1994,2,"France","FR",6,"Netherlands","NL",3
337,1994,2,"France","FR",9,"United Kingdom","UK",5
338,1994,2,"France","FR",10,"Greece","EL",1
339,1994,2,"France","FR",11,"Portugal","PT",1
340,1994,2,"France","FR",12,"Spain","ES",3
341,1994,3,"Germany","DE",2,"France","FR",4
342,1994,3,"Germany","DE",4,"Italy","IT",1
343,1994,3,"Germany","DE",9,"United Kingdom","UK",7
344,1994,3,"Germany","DE",10,"Greece","EL",1
345,1994,3,"Germany","DE",12,"Spain","ES",1
346,1994,4,"Italy","IT",2,"France","FR",2
347,1994,4,"Italy","IT",6,"Netherlands","NL",1
348,1994,4,"Italy","IT",9,"United Kingdom","UK",3
349,1994,4,"Italy","IT",12,"Spain","ES",3
350,1994,6,"Netherlands","NL",2,"France","FR",1
351,1994,6,"Netherlands","NL",3,"Germany","DE",1
352,1994,6,"Netherlands","NL",4,"Italy","IT",2
353,1994,6,"Netherlands","NL",7,"Denmark","DK",1
354,1994,6,"Netherlands","NL",9,"United Kingdom","UK",2
355,1994,6,"Netherlands","NL",11,"Portugal","PT",2
356,1994,6,"Netherlands","NL",12,"Spain","ES",2
357,1994,6,"Netherlands","NL",15,"Sweden","SE",1
358,1994,7,"Denmark","DK",4,"Italy","IT",1
359,1994,7,"Denmark","DK",6,"Netherlands","NL",1
360,1994,7,"Denmark","DK",9,"United Kingdom","UK",1
361,1994,7,"Denmark","DK",10,"Greece","EL",2
362,1994,9,"United Kingdom","UK",2,"France","FR",6
363,1994,9,"United Kingdom","UK",3,"Germany","DE",23
364,1994,9,"United Kingdom","UK",4,"Italy","IT",6
365,1994,9,"United Kingdom","UK",6,"Netherlands","NL",7
366,1994,9,"United Kingdom","UK",7,"Denmark","DK",1
367,1994,9,"United Kingdom","UK",10,"Greece","EL",2
368,1994,9,"United Kingdom","UK",11,"Portugal","PT",1
369,1994,9,"United Kingdom","UK",12,"Spain","ES",1
