"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","comment_ID","comment_by_ID","comment_by","comment_by_code"
1,"TRIS:1988:0083:FR:N",2,"France","FR",1988-07-12,1988,1988-10-13,1988,"TRIS:1988:0083:FR:C:UK",9,"United Kingdom","UK"
2,"TRIS:1988:0086:FR:N",2,"France","FR",1988-07-14,1988,1989-01-16,1989,"TRIS:1988:0086:FR:C:UK",9,"United Kingdom","UK"
3,"TRIS:1988:0140:DE:N",3,"Germany","DE",1988-11-18,1988,1989-05-25,1989,"TRIS:1988:0140:DE:C:EC",34,"Commission","EC"
4,"TRIS:1989:0030:IT:N",4,"Italy","IT",1989-02-13,1989,1989-05-18,1989,"TRIS:1989:0030:IT:C:FR",2,"France","FR"
5,"TRIS:1989:0050:UK:N",9,"United Kingdom","UK",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:DE",3,"Germany","DE"
6,"TRIS:1989:0050:UK:N",9,"United Kingdom","UK",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:FR",2,"France","FR"
7,"TRIS:1989:0050:UK:N",9,"United Kingdom","UK",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:IT",4,"Italy","IT"
8,"TRIS:1989:0056:DE:N",3,"Germany","DE",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:UK",9,"United Kingdom","UK"
9,"TRIS:1989:0057:DE:N",3,"Germany","DE",1989-03-16,1989,1989-06-30,1989,"TRIS:1989:0057:DE:C:IT",4,"Italy","IT"
10,"TRIS:1989:0058:DK:N",7,"Denmark","DK",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:NL",6,"Netherlands","NL"
11,"TRIS:1989:0058:DK:N",7,"Denmark","DK",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:UK",9,"United Kingdom","UK"
12,"TRIS:1989:0061:UK:N",9,"United Kingdom","UK",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:EC",34,"Commission","EC"
13,"TRIS:1989:0061:UK:N",9,"United Kingdom","UK",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:FR",2,"France","FR"
14,"TRIS:1989:0072:DE:N",3,"Germany","DE",1989-04-07,1989,1989-09-04,1989,"TRIS:1989:0072:DE:C:EC",34,"Commission","EC"
15,"TRIS:1989:0076:FR:N",2,"France","FR",1989-04-19,1989,1990-04-23,1990,"TRIS:1989:0076:FR:C:EC",34,"Commission","EC"
16,"TRIS:1989:0093:DE:N",3,"Germany","DE",1989-04-28,1989,1989-08-17,1989,"TRIS:1989:0093:DE:C:EC",34,"Commission","EC"
17,"TRIS:1989:0095:IT:N",4,"Italy","IT",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0095:IT:C:UK",9,"United Kingdom","UK"
