"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","opinion_ID","opinion_by"
1,"TRIS:1988:0136:IE:N","Ireland",1988-11-14,1988,1989-06-06,1989,"TRIS:1988:0136:IE:C:EC","Commission"
2,"TRIS:1988:0145:ES:N","Spain",1988-11-29,1988,1989-07-17,1989,"TRIS:1988:0145:ES:C:EC","Commission"
3,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:DK","Denmark"
4,"TRIS:1989:0052:UK:N","United Kingdom",1989-03-15,1989,1989-09-25,1989,"TRIS:1989:0052:UK:C:EC","Commission"
5,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:EC","Commission"
6,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:ES","Spain"
7,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:FR","France"
8,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:NL","Netherlands"
9,"TRIS:1989:0058:DK:N","Denmark",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:EL","Greece"
10,"TRIS:1989:0060:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0060:UK:C:EC","Commission"
11,"TRIS:1989:0060:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0060:UK:C:ES","Spain"
12,"TRIS:1989:0060:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0060:UK:C:FR","France"
13,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:BE","Belgium"
14,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:ES","Spain"
15,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:DE","Germany"
16,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:EC","Commission"
17,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:ES","Spain"
18,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:FR","France"
19,"TRIS:1989:0071:DE:N","Germany",1989-04-07,1989,1989-12-04,1989,"TRIS:1989:0071:DE:C:EC","Commission"
20,"TRIS:1989:0073:IT:N","Italy",1989-04-10,1989,1989-10-18,1989,"TRIS:1989:0073:IT:C:EC","Commission"
21,"TRIS:1989:0075:UK:N","United Kingdom",1989-04-13,1989,1989-10-26,1989,"TRIS:1989:0075:UK:C:FR","France"
22,"TRIS:1989:0077:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0077:DE:C:EC","Commission"
23,"TRIS:1989:0077:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0077:DE:C:FR","France"
24,"TRIS:1989:0079:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0079:DE:C:EC","Commission"
25,"TRIS:1989:0079:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0079:DE:C:FR","France"
26,"TRIS:1989:0081:DE:N","Germany",1989-04-21,1989,1989-12-11,1989,"TRIS:1989:0081:DE:C:EC","Commission"
27,"TRIS:1989:0082:DE:N","Germany",1989-04-21,1989,1989-12-11,1989,"TRIS:1989:0082:DE:C:EC","Commission"
28,"TRIS:1989:0083:DE:N","Germany",1989-04-21,1989,1989-12-07,1989,"TRIS:1989:0083:DE:C:EC","Commission"
29,"TRIS:1989:0084:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0084:DE:C:EC","Commission"
30,"TRIS:1989:0084:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0084:DE:C:FR","France"
31,"TRIS:1989:0085:DE:N","Germany",1989-04-21,1989,1989-12-07,1989,"TRIS:1989:0085:DE:C:EC","Commission"
32,"TRIS:1989:0086:DE:N","Germany",1989-04-21,1989,1990-01-03,1990,"TRIS:1989:0086:DE:C:EC","Commission"
33,"TRIS:1989:0090:DE:N","Germany",1989-04-25,1989,1989-10-26,1989,"TRIS:1989:0090:DE:C:EC","Commission"
34,"TRIS:1989:0091:UK:N","United Kingdom",1989-04-28,1989,1990-08-14,1990,"TRIS:1989:0091:UK:C:FR","France"
35,"TRIS:1989:0095:IT:N","Italy",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0095:IT:C:EC","Commission"
36,"TRIS:1989:0096:IT:N","Italy",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0096:IT:C:EC","Commission"
37,"TRIS:1989:0099:UK:N","United Kingdom",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0099:UK:C:DE","Germany"
38,"TRIS:1989:0099:UK:N","United Kingdom",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0099:UK:C:FR","France"
39,"TRIS:1989:0101:ES:N","Spain",1989-05-08,1989,1989-11-21,1989,"TRIS:1989:0101:ES:C:EC","Commission"
40,"TRIS:1989:0102:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0102:DE:C:EC","Commission"
41,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:EL","Greece"
42,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:FR","France"
43,"TRIS:1989:0106:DE:N","Germany",1989-05-16,1989,1989-11-23,1989,"TRIS:1989:0106:DE:C:EC","Commission"
