"key_ID","year","response_by","notification_by","response_type","count"
1,1988,"Austria","Austria","comment",0
2,1988,"Austria","Austria","opinion",0
3,1988,"Austria","Belgium","comment",0
4,1988,"Austria","Belgium","opinion",0
5,1988,"Austria","Denmark","comment",0
6,1988,"Austria","Denmark","opinion",0
7,1988,"Austria","Finland","comment",0
8,1988,"Austria","Finland","opinion",0
9,1988,"Austria","France","comment",0
10,1988,"Austria","France","opinion",0
11,1988,"Austria","Germany","comment",0
12,1988,"Austria","Germany","opinion",0
13,1988,"Austria","Greece","comment",0
14,1988,"Austria","Greece","opinion",0
15,1988,"Austria","Iceland","comment",0
16,1988,"Austria","Iceland","opinion",0
17,1988,"Austria","Ireland","comment",0
18,1988,"Austria","Ireland","opinion",0
19,1988,"Austria","Italy","comment",0
20,1988,"Austria","Italy","opinion",0
21,1988,"Austria","Luxembourg","comment",0
22,1988,"Austria","Luxembourg","opinion",0
23,1988,"Austria","Netherlands","comment",0
24,1988,"Austria","Netherlands","opinion",0
25,1988,"Austria","Norway","comment",0
26,1988,"Austria","Norway","opinion",0
27,1988,"Austria","Portugal","comment",0
28,1988,"Austria","Portugal","opinion",0
29,1988,"Austria","Spain","comment",0
30,1988,"Austria","Spain","opinion",0
31,1988,"Austria","Sweden","comment",0
32,1988,"Austria","Sweden","opinion",0
33,1988,"Austria","Switzerland","comment",0
34,1988,"Austria","Switzerland","opinion",0
35,1988,"Austria","United Kingdom","comment",0
36,1988,"Austria","United Kingdom","opinion",0
37,1988,"Belgium","Austria","comment",0
38,1988,"Belgium","Austria","opinion",0
39,1988,"Belgium","Belgium","comment",0
40,1988,"Belgium","Belgium","opinion",0
41,1988,"Belgium","Denmark","comment",0
42,1988,"Belgium","Denmark","opinion",0
43,1988,"Belgium","Finland","comment",0
44,1988,"Belgium","Finland","opinion",0
45,1988,"Belgium","France","comment",0
46,1988,"Belgium","France","opinion",0
47,1988,"Belgium","Germany","comment",0
48,1988,"Belgium","Germany","opinion",0
49,1988,"Belgium","Greece","comment",0
50,1988,"Belgium","Greece","opinion",0
51,1988,"Belgium","Iceland","comment",0
52,1988,"Belgium","Iceland","opinion",0
53,1988,"Belgium","Ireland","comment",0
54,1988,"Belgium","Ireland","opinion",0
55,1988,"Belgium","Italy","comment",0
56,1988,"Belgium","Italy","opinion",0
57,1988,"Belgium","Luxembourg","comment",0
58,1988,"Belgium","Luxembourg","opinion",0
59,1988,"Belgium","Netherlands","comment",0
60,1988,"Belgium","Netherlands","opinion",0
61,1988,"Belgium","Norway","comment",0
62,1988,"Belgium","Norway","opinion",0
63,1988,"Belgium","Portugal","comment",0
64,1988,"Belgium","Portugal","opinion",0
65,1988,"Belgium","Spain","comment",0
66,1988,"Belgium","Spain","opinion",0
67,1988,"Belgium","Sweden","comment",0
68,1988,"Belgium","Sweden","opinion",0
69,1988,"Belgium","Switzerland","comment",0
70,1988,"Belgium","Switzerland","opinion",0
71,1988,"Belgium","United Kingdom","comment",0
72,1988,"Belgium","United Kingdom","opinion",0
73,1988,"Commission","Austria","comment",0
74,1988,"Commission","Austria","opinion",0
75,1988,"Commission","Belgium","comment",0
76,1988,"Commission","Belgium","opinion",0
77,1988,"Commission","Denmark","comment",0
78,1988,"Commission","Denmark","opinion",0
79,1988,"Commission","Finland","comment",0
80,1988,"Commission","Finland","opinion",0
81,1988,"Commission","France","comment",0
82,1988,"Commission","France","opinion",0
83,1988,"Commission","Germany","comment",1
84,1988,"Commission","Germany","opinion",0
85,1988,"Commission","Greece","comment",0
86,1988,"Commission","Greece","opinion",0
87,1988,"Commission","Iceland","comment",0
88,1988,"Commission","Iceland","opinion",0
89,1988,"Commission","Ireland","comment",0
90,1988,"Commission","Ireland","opinion",1
91,1988,"Commission","Italy","comment",0
92,1988,"Commission","Italy","opinion",0
93,1988,"Commission","Luxembourg","comment",0
94,1988,"Commission","Luxembourg","opinion",0
95,1988,"Commission","Netherlands","comment",0
96,1988,"Commission","Netherlands","opinion",0
97,1988,"Commission","Norway","comment",0
98,1988,"Commission","Norway","opinion",0
99,1988,"Commission","Portugal","comment",0
100,1988,"Commission","Portugal","opinion",0
101,1988,"Commission","Spain","comment",0
102,1988,"Commission","Spain","opinion",1
103,1988,"Commission","Sweden","comment",0
104,1988,"Commission","Sweden","opinion",0
105,1988,"Commission","Switzerland","comment",0
106,1988,"Commission","Switzerland","opinion",0
107,1988,"Commission","United Kingdom","comment",0
108,1988,"Commission","United Kingdom","opinion",0
109,1988,"Denmark","Austria","comment",0
110,1988,"Denmark","Austria","opinion",0
111,1988,"Denmark","Belgium","comment",0
112,1988,"Denmark","Belgium","opinion",0
113,1988,"Denmark","Denmark","comment",0
114,1988,"Denmark","Denmark","opinion",0
115,1988,"Denmark","Finland","comment",0
116,1988,"Denmark","Finland","opinion",0
117,1988,"Denmark","France","comment",0
118,1988,"Denmark","France","opinion",0
119,1988,"Denmark","Germany","comment",0
120,1988,"Denmark","Germany","opinion",0
121,1988,"Denmark","Greece","comment",0
122,1988,"Denmark","Greece","opinion",0
123,1988,"Denmark","Iceland","comment",0
124,1988,"Denmark","Iceland","opinion",0
125,1988,"Denmark","Ireland","comment",0
126,1988,"Denmark","Ireland","opinion",0
127,1988,"Denmark","Italy","comment",0
128,1988,"Denmark","Italy","opinion",0
129,1988,"Denmark","Luxembourg","comment",0
130,1988,"Denmark","Luxembourg","opinion",0
131,1988,"Denmark","Netherlands","comment",0
132,1988,"Denmark","Netherlands","opinion",0
133,1988,"Denmark","Norway","comment",0
134,1988,"Denmark","Norway","opinion",0
135,1988,"Denmark","Portugal","comment",0
136,1988,"Denmark","Portugal","opinion",0
137,1988,"Denmark","Spain","comment",0
138,1988,"Denmark","Spain","opinion",0
139,1988,"Denmark","Sweden","comment",0
140,1988,"Denmark","Sweden","opinion",0
141,1988,"Denmark","Switzerland","comment",0
142,1988,"Denmark","Switzerland","opinion",0
143,1988,"Denmark","United Kingdom","comment",0
144,1988,"Denmark","United Kingdom","opinion",0
145,1988,"European Free Trade Association","Austria","comment",0
146,1988,"European Free Trade Association","Austria","opinion",0
147,1988,"European Free Trade Association","Belgium","comment",0
148,1988,"European Free Trade Association","Belgium","opinion",0
149,1988,"European Free Trade Association","Denmark","comment",0
150,1988,"European Free Trade Association","Denmark","opinion",0
151,1988,"European Free Trade Association","Finland","comment",0
152,1988,"European Free Trade Association","Finland","opinion",0
153,1988,"European Free Trade Association","France","comment",0
154,1988,"European Free Trade Association","France","opinion",0
155,1988,"European Free Trade Association","Germany","comment",0
156,1988,"European Free Trade Association","Germany","opinion",0
157,1988,"European Free Trade Association","Greece","comment",0
158,1988,"European Free Trade Association","Greece","opinion",0
159,1988,"European Free Trade Association","Iceland","comment",0
160,1988,"European Free Trade Association","Iceland","opinion",0
161,1988,"European Free Trade Association","Ireland","comment",0
162,1988,"European Free Trade Association","Ireland","opinion",0
163,1988,"European Free Trade Association","Italy","comment",0
164,1988,"European Free Trade Association","Italy","opinion",0
165,1988,"European Free Trade Association","Luxembourg","comment",0
166,1988,"European Free Trade Association","Luxembourg","opinion",0
167,1988,"European Free Trade Association","Netherlands","comment",0
168,1988,"European Free Trade Association","Netherlands","opinion",0
169,1988,"European Free Trade Association","Norway","comment",0
170,1988,"European Free Trade Association","Norway","opinion",0
171,1988,"European Free Trade Association","Portugal","comment",0
172,1988,"European Free Trade Association","Portugal","opinion",0
173,1988,"European Free Trade Association","Spain","comment",0
174,1988,"European Free Trade Association","Spain","opinion",0
175,1988,"European Free Trade Association","Sweden","comment",0
176,1988,"European Free Trade Association","Sweden","opinion",0
177,1988,"European Free Trade Association","Switzerland","comment",0
178,1988,"European Free Trade Association","Switzerland","opinion",0
179,1988,"European Free Trade Association","United Kingdom","comment",0
180,1988,"European Free Trade Association","United Kingdom","opinion",0
181,1988,"Finland","Austria","comment",0
182,1988,"Finland","Austria","opinion",0
183,1988,"Finland","Belgium","comment",0
184,1988,"Finland","Belgium","opinion",0
185,1988,"Finland","Denmark","comment",0
186,1988,"Finland","Denmark","opinion",0
187,1988,"Finland","Finland","comment",0
188,1988,"Finland","Finland","opinion",0
189,1988,"Finland","France","comment",0
190,1988,"Finland","France","opinion",0
191,1988,"Finland","Germany","comment",0
192,1988,"Finland","Germany","opinion",0
193,1988,"Finland","Greece","comment",0
194,1988,"Finland","Greece","opinion",0
195,1988,"Finland","Iceland","comment",0
196,1988,"Finland","Iceland","opinion",0
197,1988,"Finland","Ireland","comment",0
198,1988,"Finland","Ireland","opinion",0
199,1988,"Finland","Italy","comment",0
200,1988,"Finland","Italy","opinion",0
