"key_ID","year","from_node","to_node","edge_type","edge_weight"
1,1988,"Commission","Germany","comment",1
2,1988,"Commission","Ireland","opinion",1
3,1988,"Commission","Spain","opinion",1
4,1988,"United Kingdom","France","comment",2
5,1989,"Belgium","Germany","comment",2
6,1989,"Belgium","Germany","opinion",3
7,1989,"Belgium","Greece","comment",1
8,1989,"Belgium","Netherlands","comment",1
9,1989,"Belgium","Netherlands","opinion",1
10,1989,"Belgium","United Kingdom","opinion",1
11,1989,"Commission","Belgium","comment",2
12,1989,"Commission","Belgium","opinion",9
13,1989,"Commission","Denmark","comment",4
14,1989,"Commission","Denmark","opinion",3
15,1989,"Commission","France","comment",9
16,1989,"Commission","France","opinion",2
17,1989,"Commission","Germany","comment",12
18,1989,"Commission","Germany","opinion",42
19,1989,"Commission","Greece","opinion",4
20,1989,"Commission","Italy","opinion",7
21,1989,"Commission","Luxembourg","opinion",2
22,1989,"Commission","Netherlands","comment",4
23,1989,"Commission","Netherlands","opinion",4
24,1989,"Commission","Spain","comment",5
25,1989,"Commission","Spain","opinion",8
26,1989,"Commission","United Kingdom","comment",3
27,1989,"Commission","United Kingdom","opinion",6
28,1989,"Denmark","Belgium","comment",1
29,1989,"Denmark","France","comment",1
30,1989,"Denmark","Germany","comment",1
31,1989,"Denmark","Netherlands","comment",1
32,1989,"Denmark","Spain","opinion",1
33,1989,"Denmark","United Kingdom","opinion",1
34,1989,"France","Belgium","comment",3
35,1989,"France","Belgium","opinion",6
36,1989,"France","Denmark","comment",2
37,1989,"France","Denmark","opinion",2
38,1989,"France","Germany","comment",10
39,1989,"France","Germany","opinion",17
40,1989,"France","Greece","comment",2
41,1989,"France","Italy","comment",5
42,1989,"France","Italy","opinion",1
43,1989,"France","Netherlands","comment",3
44,1989,"France","Netherlands","opinion",5
45,1989,"France","Spain","comment",4
46,1989,"France","Spain","opinion",4
47,1989,"France","United Kingdom","comment",5
48,1989,"France","United Kingdom","opinion",8
49,1989,"Germany","Belgium","comment",2
50,1989,"Germany","Belgium","opinion",1
51,1989,"Germany","Denmark","comment",2
52,1989,"Germany","France","opinion",5
53,1989,"Germany","Greece","comment",2
54,1989,"Germany","Italy","opinion",1
55,1989,"Germany","Netherlands","comment",3
56,1989,"Germany","Netherlands","opinion",2
57,1989,"Germany","Spain","comment",2
58,1989,"Germany","United Kingdom","comment",2
59,1989,"Germany","United Kingdom","opinion",6
60,1989,"Greece","Denmark","opinion",1
61,1989,"Greece","France","opinion",1
62,1989,"Greece","Germany","opinion",1
63,1989,"Greece","Italy","opinion",1
64,1989,"Greece","Netherlands","comment",1
65,1989,"Ireland","France","opinion",1
66,1989,"Ireland","Germany","opinion",1
67,1989,"Ireland","Greece","opinion",1
68,1989,"Italy","Belgium","opinion",1
69,1989,"Italy","France","comment",5
70,1989,"Italy","France","opinion",1
71,1989,"Italy","Germany","comment",1
72,1989,"Italy","Germany","opinion",5
73,1989,"Italy","Greece","opinion",1
74,1989,"Italy","Netherlands","opinion",1
75,1989,"Italy","Spain","comment",2
76,1989,"Italy","United Kingdom","comment",2
77,1989,"Netherlands","Belgium","opinion",1
78,1989,"Netherlands","Denmark","comment",2
79,1989,"Netherlands","France","comment",1
80,1989,"Netherlands","Germany","comment",1
81,1989,"Netherlands","Germany","opinion",4
82,1989,"Netherlands","Greece","comment",1
83,1989,"Portugal","Germany","comment",2
84,1989,"Spain","Belgium","comment",1
85,1989,"Spain","Belgium","opinion",1
86,1989,"Spain","Denmark","opinion",1
87,1989,"Spain","France","comment",5
88,1989,"Spain","France","opinion",1
89,1989,"Spain","Germany","comment",3
90,1989,"Spain","Germany","opinion",1
91,1989,"Spain","Luxembourg","opinion",1
92,1989,"Spain","Netherlands","opinion",1
93,1989,"Spain","Portugal","comment",1
94,1989,"Spain","United Kingdom","comment",1
95,1989,"Spain","United Kingdom","opinion",3
96,1989,"United Kingdom","Belgium","comment",1
97,1989,"United Kingdom","Belgium","opinion",3
98,1989,"United Kingdom","Denmark","comment",1
99,1989,"United Kingdom","France","comment",2
100,1989,"United Kingdom","France","opinion",4
101,1989,"United Kingdom","Germany","comment",6
102,1989,"United Kingdom","Germany","opinion",4
103,1989,"United Kingdom","Greece","comment",2
104,1989,"United Kingdom","Greece","opinion",1
105,1989,"United Kingdom","Italy","comment",1
106,1989,"United Kingdom","Luxembourg","comment",1
107,1989,"United Kingdom","Netherlands","comment",2
108,1989,"United Kingdom","Netherlands","opinion",5
109,1989,"United Kingdom","Spain","comment",4
110,1989,"United Kingdom","Spain","opinion",2
111,1990,"Belgium","France","opinion",3
112,1990,"Belgium","Germany","comment",1
113,1990,"Belgium","Germany","opinion",3
114,1990,"Commission","Belgium","comment",1
115,1990,"Commission","Belgium","opinion",8
116,1990,"Commission","Denmark","comment",2
117,1990,"Commission","Denmark","opinion",11
118,1990,"Commission","Finland","comment",1
119,1990,"Commission","France","comment",10
120,1990,"Commission","France","opinion",41
121,1990,"Commission","Germany","comment",21
122,1990,"Commission","Germany","opinion",33
123,1990,"Commission","Greece","comment",2
124,1990,"Commission","Greece","opinion",5
125,1990,"Commission","Ireland","comment",1
126,1990,"Commission","Ireland","opinion",2
127,1990,"Commission","Italy","comment",1
128,1990,"Commission","Italy","opinion",16
129,1990,"Commission","Luxembourg","comment",1
130,1990,"Commission","Netherlands","comment",7
131,1990,"Commission","Netherlands","opinion",7
132,1990,"Commission","Portugal","comment",2
133,1990,"Commission","Portugal","opinion",1
134,1990,"Commission","Spain","comment",10
135,1990,"Commission","Spain","opinion",6
136,1990,"Commission","United Kingdom","comment",7
137,1990,"Commission","United Kingdom","opinion",30
138,1990,"Denmark","Belgium","comment",1
139,1990,"Denmark","France","opinion",1
140,1990,"Denmark","Germany","comment",2
141,1990,"Denmark","Greece","comment",1
142,1990,"European Free Trade Association","Belgium","comment",1
143,1990,"European Free Trade Association","France","comment",1
144,1990,"France","Belgium","comment",2
145,1990,"France","Belgium","opinion",3
