"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","response_ID","response_type","response_by"
1,"TRIS:1988:0083:FR:N","France",1988-07-12,1988,1988-10-13,1988,"TRIS:1988:0083:FR:C:UK","comment","United Kingdom"
2,"TRIS:1988:0086:FR:N","France",1988-07-14,1988,1989-01-16,1989,"TRIS:1988:0086:FR:C:UK","comment","United Kingdom"
3,"TRIS:1988:0136:IE:N","Ireland",1988-11-14,1988,1989-06-06,1989,"TRIS:1988:0136:IE:C:EC","opinion","Commission"
4,"TRIS:1988:0140:DE:N","Germany",1988-11-18,1988,1989-05-25,1989,"TRIS:1988:0140:DE:C:EC","comment","Commission"
5,"TRIS:1988:0145:ES:N","Spain",1988-11-29,1988,1989-07-17,1989,"TRIS:1988:0145:ES:C:EC","opinion","Commission"
6,"TRIS:1989:0030:IT:N","Italy",1989-02-13,1989,1989-05-18,1989,"TRIS:1989:0030:IT:C:FR","comment","France"
7,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:DE","comment","Germany"
8,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:DK","opinion","Denmark"
9,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:FR","comment","France"
10,"TRIS:1989:0050:UK:N","United Kingdom",1989-03-10,1989,1989-09-22,1989,"TRIS:1989:0050:UK:C:IT","comment","Italy"
11,"TRIS:1989:0052:UK:N","United Kingdom",1989-03-15,1989,1989-09-25,1989,"TRIS:1989:0052:UK:C:EC","opinion","Commission"
12,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:EC","opinion","Commission"
13,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:ES","opinion","Spain"
14,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:FR","opinion","France"
15,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:NL","opinion","Netherlands"
16,"TRIS:1989:0056:DE:N","Germany",1989-03-16,1989,1989-10-02,1989,"TRIS:1989:0056:DE:C:UK","comment","United Kingdom"
17,"TRIS:1989:0057:DE:N","Germany",1989-03-16,1989,1989-06-30,1989,"TRIS:1989:0057:DE:C:IT","comment","Italy"
18,"TRIS:1989:0058:DK:N","Denmark",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:EL","opinion","Greece"
19,"TRIS:1989:0058:DK:N","Denmark",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:NL","comment","Netherlands"
20,"TRIS:1989:0058:DK:N","Denmark",1989-03-17,1989,1990-06-01,1990,"TRIS:1989:0058:DK:C:UK","comment","United Kingdom"
21,"TRIS:1989:0060:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0060:UK:C:EC","opinion","Commission"
22,"TRIS:1989:0060:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0060:UK:C:ES","opinion","Spain"
23,"TRIS:1989:0060:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0060:UK:C:FR","opinion","France"
24,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:BE","opinion","Belgium"
25,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:EC","comment","Commission"
26,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:ES","opinion","Spain"
27,"TRIS:1989:0061:UK:N","United Kingdom",1989-03-28,1989,1989-09-29,1989,"TRIS:1989:0061:UK:C:FR","comment","France"
28,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:DE","opinion","Germany"
29,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:EC","opinion","Commission"
30,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:ES","opinion","Spain"
31,"TRIS:1989:0062:UK:N","United Kingdom",1989-03-28,1989,1989-06-29,1989,"TRIS:1989:0062:UK:C:FR","opinion","France"
32,"TRIS:1989:0071:DE:N","Germany",1989-04-07,1989,1989-12-04,1989,"TRIS:1989:0071:DE:C:EC","opinion","Commission"
33,"TRIS:1989:0072:DE:N","Germany",1989-04-07,1989,1989-09-04,1989,"TRIS:1989:0072:DE:C:EC","comment","Commission"
34,"TRIS:1989:0073:IT:N","Italy",1989-04-10,1989,1989-10-18,1989,"TRIS:1989:0073:IT:C:EC","opinion","Commission"
35,"TRIS:1989:0075:UK:N","United Kingdom",1989-04-13,1989,1989-10-26,1989,"TRIS:1989:0075:UK:C:FR","opinion","France"
36,"TRIS:1989:0076:FR:N","France",1989-04-19,1989,1990-04-23,1990,"TRIS:1989:0076:FR:C:EC","comment","Commission"
37,"TRIS:1989:0077:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0077:DE:C:EC","opinion","Commission"
38,"TRIS:1989:0077:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0077:DE:C:FR","opinion","France"
39,"TRIS:1989:0079:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0079:DE:C:EC","opinion","Commission"
40,"TRIS:1989:0079:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0079:DE:C:FR","opinion","France"
41,"TRIS:1989:0081:DE:N","Germany",1989-04-21,1989,1989-12-11,1989,"TRIS:1989:0081:DE:C:EC","opinion","Commission"
42,"TRIS:1989:0082:DE:N","Germany",1989-04-21,1989,1989-12-11,1989,"TRIS:1989:0082:DE:C:EC","opinion","Commission"
43,"TRIS:1989:0083:DE:N","Germany",1989-04-21,1989,1989-12-07,1989,"TRIS:1989:0083:DE:C:EC","opinion","Commission"
44,"TRIS:1989:0084:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0084:DE:C:EC","opinion","Commission"
45,"TRIS:1989:0084:DE:N","Germany",1989-04-21,1989,1989-10-26,1989,"TRIS:1989:0084:DE:C:FR","opinion","France"
46,"TRIS:1989:0085:DE:N","Germany",1989-04-21,1989,1989-12-07,1989,"TRIS:1989:0085:DE:C:EC","opinion","Commission"
47,"TRIS:1989:0086:DE:N","Germany",1989-04-21,1989,1990-01-03,1990,"TRIS:1989:0086:DE:C:EC","opinion","Commission"
48,"TRIS:1989:0090:DE:N","Germany",1989-04-25,1989,1989-10-26,1989,"TRIS:1989:0090:DE:C:EC","opinion","Commission"
49,"TRIS:1989:0091:UK:N","United Kingdom",1989-04-28,1989,1990-08-14,1990,"TRIS:1989:0091:UK:C:FR","opinion","France"
50,"TRIS:1989:0093:DE:N","Germany",1989-04-28,1989,1989-08-17,1989,"TRIS:1989:0093:DE:C:EC","comment","Commission"
51,"TRIS:1989:0095:IT:N","Italy",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0095:IT:C:EC","opinion","Commission"
52,"TRIS:1989:0095:IT:N","Italy",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0095:IT:C:UK","comment","United Kingdom"
53,"TRIS:1989:0096:IT:N","Italy",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0096:IT:C:EC","opinion","Commission"
54,"TRIS:1989:0099:UK:N","United Kingdom",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0099:UK:C:DE","opinion","Germany"
55,"TRIS:1989:0099:UK:N","United Kingdom",1989-05-03,1989,1989-11-20,1989,"TRIS:1989:0099:UK:C:FR","opinion","France"
56,"TRIS:1989:0101:ES:N","Spain",1989-05-08,1989,1989-11-21,1989,"TRIS:1989:0101:ES:C:DE","comment","Germany"
57,"TRIS:1989:0101:ES:N","Spain",1989-05-08,1989,1989-11-21,1989,"TRIS:1989:0101:ES:C:EC","opinion","Commission"
58,"TRIS:1989:0101:ES:N","Spain",1989-05-08,1989,1989-11-21,1989,"TRIS:1989:0101:ES:C:FR","comment","France"
59,"TRIS:1989:0102:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0102:DE:C:EC","opinion","Commission"
60,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:EC","comment","Commission"
61,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:EL","opinion","Greece"
62,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:ES","comment","Spain"
63,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:FR","opinion","France"
64,"TRIS:1989:0103:DE:N","Germany",1989-05-08,1989,1989-11-17,1989,"TRIS:1989:0103:DE:C:PT","comment","Portugal"
65,"TRIS:1989:0104:DE:N","Germany",1989-05-08,1989,1989-08-17,1989,"TRIS:1989:0104:DE:C:UK","comment","United Kingdom"
66,"TRIS:1989:0106:DE:N","Germany",1989-05-16,1989,1989-11-23,1989,"TRIS:1989:0106:DE:C:EC","opinion","Commission"
67,"TRIS:1989:0106:DE:N","Germany",1989-05-16,1989,1989-11-23,1989,"TRIS:1989:0106:DE:C:FR","opinion","France"
68,"TRIS:1989:0108:DE:N","Germany",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:C:EC","comment","Commission"
69,"TRIS:1989:0108:DE:N","Germany",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:C:FR","opinion","France"
70,"TRIS:1989:0108:DE:N","Germany",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:C:IT","opinion","Italy"
71,"TRIS:1989:0108:DE:N","Germany",1989-05-16,1989,1989-11-20,1989,"TRIS:1989:0108:DE:C:NL","opinion","Netherlands"
72,"TRIS:1989:0115:NL:N","Netherlands",1989-05-23,1989,1989-11-24,1989,"TRIS:1989:0115:NL:C:FR","opinion","France"
73,"TRIS:1989:0116:NL:N","Netherlands",1989-05-23,1989,1989-11-27,1989,"TRIS:1989:0116:NL:C:EC","comment","Commission"
74,"TRIS:1989:0116:NL:N","Netherlands",1989-05-23,1989,1989-11-27,1989,"TRIS:1989:0116:NL:C:FR","opinion","France"
75,"TRIS:1989:0117:NL:N","Netherlands",1989-05-23,1989,1989-08-28,1989,"TRIS:1989:0117:NL:C:EC","comment","Commission"
76,"TRIS:1989:0113:NL:N","Netherlands",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:C:DE","opinion","Germany"
77,"TRIS:1989:0113:NL:N","Netherlands",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:C:EC","comment","Commission"
78,"TRIS:1989:0113:NL:N","Netherlands",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:C:FR","opinion","France"
79,"TRIS:1989:0113:NL:N","Netherlands",1989-05-25,1989,1989-12-14,1989,"TRIS:1989:0113:NL:C:UK","opinion","United Kingdom"
80,"TRIS:1989:0114:DE:N","Germany",1989-05-25,1989,1989-11-27,1989,"TRIS:1989:0114:DE:C:EC","opinion","Commission"
81,"TRIS:1989:0114:DE:N","Germany",1989-05-25,1989,1989-11-27,1989,"TRIS:1989:0114:DE:C:FR","comment","France"
82,"TRIS:1989:0114:DE:N","Germany",1989-05-25,1989,1989-11-27,1989,"TRIS:1989:0114:DE:C:UK","comment","United Kingdom"
83,"TRIS:1989:0118:FR:N","France",1989-05-26,1989,1989-12-11,1989,"TRIS:1989:0118:FR:C:IT","comment","Italy"
84,"TRIS:1989:0119:FR:N","France",1989-05-26,1989,1990-05-28,1990,"TRIS:1989:0119:FR:C:IT","comment","Italy"
85,"TRIS:1989:0120:FR:N","France",1989-05-26,1989,1989-12-11,1989,"TRIS:1989:0120:FR:C:IT","comment","Italy"
86,"TRIS:1989:0121:FR:N","France",1989-05-26,1989,1990-05-28,1990,"TRIS:1989:0121:FR:C:IT","comment","Italy"
87,"TRIS:1989:0122:FR:N","France",1989-05-29,1989,1989-08-30,1989,"TRIS:1989:0122:FR:C:EC","comment","Commission"
88,"TRIS:1989:0125:DE:N","Germany",1989-06-01,1989,1990-01-22,1990,"TRIS:1989:0125:DE:C:EC","opinion","Commission"
89,"TRIS:1989:0125:DE:N","Germany",1989-06-01,1989,1990-01-22,1990,"TRIS:1989:0125:DE:C:FR","opinion","France"
90,"TRIS:1989:0126:DE:N","Germany",1989-06-02,1989,1989-12-11,1989,"TRIS:1989:0126:DE:C:EC","opinion","Commission"
91,"TRIS:1989:0129:DE:N","Germany",1989-06-02,1989,1989-09-11,1989,"TRIS:1989:0129:DE:C:EC","comment","Commission"
92,"TRIS:1989:0130:UK:N","United Kingdom",1989-06-05,1989,1989-12-18,1989,"TRIS:1989:0130:UK:C:DE","opinion","Germany"
93,"TRIS:1989:0131:DE:N","Germany",1989-06-05,1989,1990-06-06,1990,"TRIS:1989:0131:DE:C:EC","opinion","Commission"
94,"TRIS:1989:0131:DE:N","Germany",1989-06-05,1989,1990-06-06,1990,"TRIS:1989:0131:DE:C:FR","opinion","France"
95,"TRIS:1989:0131:DE:N","Germany",1989-06-05,1989,1990-06-06,1990,"TRIS:1989:0131:DE:C:UK","comment","United Kingdom"
96,"TRIS:1989:0132:DE:N","Germany",1989-06-05,1989,1990-01-22,1990,"TRIS:1989:0132:DE:C:EC","opinion","Commission"
97,"TRIS:1989:0133:DE:N","Germany",1989-06-07,1989,1989-12-14,1989,"TRIS:1989:0133:DE:C:EC","opinion","Commission"
98,"TRIS:1989:0135:IT:N","Italy",1989-06-07,1989,1990-01-03,1990,"TRIS:1989:0135:IT:C:EC","opinion","Commission"
99,"TRIS:1989:0137:BE:N","Belgium",1989-06-09,1989,1990-07-04,1990,"TRIS:1989:0137:BE:C:DE","comment","Germany"
100,"TRIS:1989:0137:BE:N","Belgium",1989-06-09,1989,1990-07-04,1990,"TRIS:1989:0137:BE:C:FR","comment","France"
101,"TRIS:1989:0137:BE:N","Belgium",1989-06-09,1989,1990-07-04,1990,"TRIS:1989:0137:BE:C:UK","opinion","United Kingdom"
102,"TRIS:1989:0138:DE:N","Germany",1989-06-12,1989,1989-12-20,1989,"TRIS:1989:0138:DE:C:EC","opinion","Commission"
103,"TRIS:1989:0139:BE:N","Belgium",1989-06-13,1989,1989-09-25,1989,"TRIS:1989:0139:BE:C:DK","comment","Denmark"
104,"TRIS:1989:0140:ES:N","Spain",1989-06-13,1989,1989-09-28,1989,"TRIS:1989:0140:ES:C:EC","comment","Commission"
105,"TRIS:1989:0141:ES:N","Spain",1989-06-13,1989,1990-02-05,1990,"TRIS:1989:0141:ES:C:DK","opinion","Denmark"
106,"TRIS:1989:0141:ES:N","Spain",1989-06-13,1989,1990-02-05,1990,"TRIS:1989:0141:ES:C:EC","comment","Commission"
107,"TRIS:1989:0142:DE:N","Germany",1989-06-14,1989,1989-09-21,1989,"TRIS:1989:0142:DE:C:EC","comment","Commission"
108,"TRIS:1989:0143:DE:N","Germany",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:C:EC","comment","Commission"
109,"TRIS:1989:0143:DE:N","Germany",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:C:FR","opinion","France"
110,"TRIS:1989:0143:DE:N","Germany",1989-06-14,1989,1990-06-21,1990,"TRIS:1989:0143:DE:C:UK","opinion","United Kingdom"
111,"TRIS:1989:0144:DE:N","Germany",1989-06-16,1989,1990-01-03,1990,"TRIS:1989:0144:DE:C:EC","opinion","Commission"
112,"TRIS:1989:0149:IT:N","Italy",1989-06-21,1989,1989-10-02,1989,"TRIS:1989:0149:IT:C:FR","comment","France"
113,"TRIS:1989:0151:ES:N","Spain",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:EC","comment","Commission"
114,"TRIS:1989:0151:ES:N","Spain",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:FR","opinion","France"
115,"TRIS:1989:0151:ES:N","Spain",1989-06-26,1989,1990-02-02,1990,"TRIS:1989:0151:ES:C:UK","comment","United Kingdom"
116,"TRIS:1989:0152:DE:N","Germany",1989-06-28,1989,1990-03-07,1990,"TRIS:1989:0152:DE:C:EC","opinion","Commission"
117,"TRIS:1989:0153:BE:N","Belgium",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:C:EC","opinion","Commission"
118,"TRIS:1989:0153:BE:N","Belgium",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:C:FR","opinion","France"
119,"TRIS:1989:0153:BE:N","Belgium",1989-06-28,1989,1990-02-05,1990,"TRIS:1989:0153:BE:C:UK","opinion","United Kingdom"
